
   INFO  Server running on [http://127.0.0.1:8007].  

  Press Ctrl+C to stop the server
  2026-07-14 21:51:50 /build/assets/app-DNchKTCw.js ........................................................ ~ 3.89ms
  2026-07-14 21:51:50 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 1.13ms
  2026-07-14 21:51:50 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 4.08ms
  2026-07-14 21:51:50 /build/assets/jetbrains-mono-latin-wght-normal-B9CIFXIH.woff2 ........................ ~ 2.29ms
  2026-07-14 21:51:50 /favicon.ico ......................................................................... ~ 0.50ms
  2026-07-14 21:51:52 /profile ............................................................................. ~ 4.73ms
  2026-07-14 21:51:52 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.39ms
  2026-07-14 21:51:52 /build/assets/app-BDwipKSs.css ....................................................... ~ 2.20ms
  2026-07-14 21:51:52 /build/assets/app-DNchKTCw.js ........................................................ ~ 3.97ms
  2026-07-14 21:51:52 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.29ms
  2026-07-14 21:51:52 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 1.53ms
  2026-07-14 21:51:52 /favicon.ico ......................................................................... ~ 0.37ms
